G1TBM7 F1RQB0
G1U9B4 Q06AA7
G1SKC4 I3LIT1
G1TEI7 A0A287AYT3
G1SRP7 A0A286ZWZ7
G1SN38 F1RLC1
G1SZU7 F1S4W0
G1SZ81 A0A287BPQ8
G1SEN5 A0A287AJ61
G1SJI1 F1SJV7
Q6ECK6 I4IYB5
G1T109 A0A287AE86
G1SLH7 A0A287B0Y7
G1T2P2 A7UNK0
G1SUH7 I3LVL0
G1TEI0 I3LDH3
G1U255 A0A286ZKV2
G1SQ59 F1SQ05
G1SWA1 A0A287BLB3
G1TDJ9 A0A287BEV5
G1SJP8 A0A287BGT4
G1SHD6 D0G777
G1STP3 I3LBY1
G1SIW6 F1SRJ6
G1SNC8 A0A287BJH7
G1T7H6 A0A287BE48
G1SGW5 A8S2C3
G1SWH0 I3LBD8
G1SZD6 F1SA98
G1SGN8 A0A286ZKI5
G1SGZ9 F1RYE9
G1SWQ8 F1S1D3
G1SZK4 A0A287BQ14
G1SWA1 I3LRY4
G1TVU3 Q9TUB2
G1T6B3 F1RP44
G1T876 A0A287ARD1
U3KP67 F1S0S4
G1SNQ6 F1S8F7
G1SYB4 Q007T2
G1TF91 A0A287A2R9
G1T8L8 F1S041
G1TBB8 K7GSM3
G1STX1 F1SRL7
U3KM97 A5GHK9
G1TLF3 A5GFS7
G1T9A8 F1RN19
G1T4K4 F1SPK3
G1T4B6 F1SR89
G1U4S3 F1RJG8
G1SRV2 A0A287AI88
G1SH29 I3LH61
G1TEY7 A0A287BIK4
G1THI1 A0A287A555
G1TRW0 A0A287BKR2
P41035 F1S4Y8
G1T737 F1RRR8
G1T7M7 F1RPV3
G1T662 F1RSD0
G1SHY0 I3LEB3
G1SQM7 F1SG88
G1TTZ2 I3LTQ7
G1U730 A0A287ARD7
G1T9N6 F1SDY7
G1T1E3 A0A287AD78
G1SIH0 I3LDH3
G1SV05 A0A287BB27
G1TRM6 A0A287BRX1
G1T1I9 F1RZR1
G1TNT5 F1S021
P47845 A3EX84
G1T4M5 F1SPK1
G1TKM9 A0A287B9L2
G1T2B2 I3LK04
G1SRM3 F1RR20
U3KMX0 F1RRS6
G1SDE9 A0A287B1Z3
G1SHE2 F1SP25
G1T632 A0A287AMD7
G1T757 F1RLE6
G1T1X4 A0A287A096
G1TCE5 F1SF72
P04924 P23563
G1SHD1 F1SPP2
G1SGJ3 K7GL66
G1SYE7 F1RUP2
G1TF42 F1RJ88
G1SHY0 F1S798
G1U631 F1SDH5
G1U6I7 F1RN41
G1SV63 A0A287AV47
G1TN55 A0A287BIH8
G1SF00 P67937
G1T3B9 A0A287BA07
G1TUA3 A0A286ZX26
G1SUI1 I3LF69
G1T9U0 A0A287ABH5
G1TAJ6 I3LH72
A5A4K8 I3LHJ5
G1SP64 F1RF89
G1T6B3 F1S0D9
G1SHX4 F1SSX7
G1SQG5 A0A287B5K5
G1SQL1 A0A287BFL0
G1SZG8 F1SBX2
U3KNB2 F1SBP3
G1T866 A0A286ZMY6
G1U8U5 A0A287B5T1
G1U149 A0A287B9N3
G1SKJ6 F1RUH7
G1SVQ9 F1S5N5
G1TXB5 F1SFW3
G1TJB2 F1SP29
G1TSW5 A0A287B4W1
G1SLL8 I3LBP0
G1TW52 A0A287AQ46
G1T9K9 F1RK84
G1SLW7 Q6KBX4
G1SPY3 A0A287BHL1
G1T4X2 A0A287AEX8
G1T1H3 A0A286ZZ03
G1T4A9 F1RP15
G1T579 I3LPN4
G1ST95 F1SPF9
G1STX3 P67937
G1SS92 A0A287AL65
G1SZG3 A0A286ZID7
A0A0B4J1Q4 A0A287BAM9
G1U8L6 I3L8Q6
G1SGU6 F1S1D3
G1T6Q2 F1RJU1
G1T919 F1RKW0
G1SVT3 A0A287AQ50
G1TCX2 F1RXQ4
G1SQI2 F1SHC0
G1SGJ3 A0A287BEU1
G1TEU7 A0A287A269
G1SL62 A0A286ZJV6
G1T318 F1SUY6
G1SE50 F1RKX9
G1TX36 A0A287AL11
G1SKI9 F1S4Y8
G1SPS9 I3LFA7
G1SW77 F1S827
G1TWL3 F1RKD4
G1T7X7 F1SV20
G1TDG0 F1SCS4
G1T8H5 B0M1M6
G1SXR5 A0A286ZRB8
G1TE36 A0A287BQA2
G1SN38 I3L8Q6
G1T383 I3LAU5
G1T9L5 A0A287BEN5
G1U458 A0A287AXR0
G1T0Y9 F1SKF9
G1TDU3 F1SPZ6
G1STQ2 I3LI16
G1T6Z9 A0A287AJL7
U3KMD4 I3LNC2
G1SRL1 A0A287ANE3
G1TT06 F1ST01
G1SRS0 F1RRE7
G1SNL0 F1SV13
G1ST46 A0A286ZSC4
U3KN87 A0A287A5F6
G1TBM2 I3LD78
G1TVH9 A0A287A7H6
G1SSM2 I3L7K2
G1SI13 F1S0L5
G1SG88 A0A287A728
G1SL72 F1SGH9
G1TVN3 A0A287A8Y2
G1TGK9 K7GND3
G1SRF6 A0A287AS02
G1TNE6 F1SLZ5
G1U418 F1RM59
G1SWA1 A0A287A096
G1TD74 K7GRK2
G1TKA8 C1JEX7
G1U6T2 F1S047
G1SYN9 I3LEZ7
G1SPP9 A0A140TAJ7
G1SVQ9 F1SEX6
G1T2B2 F1S4A8
G1SMN9 A0A287BBC6
U3KN12 A0A287BL28
G1SSS6 A0A287BQM5
E2J6N2 F1SSX7
G1T874 A0A287B0L4
G1TIY7 A0A287AVE0
G1SD04 I3L8G0
G1SWX5 P79288
G1THG0 I3LSD5
G1T0H9 F1SC64
G1SSS6 F1SJL3
G1SIU3 A0A287AA49
G1T1J5 F1SG07
A6N4D0 F1S1M5
G1T6B3 A0A287B5K5
G1T0R4 F1SFK5
G1SZR1 B1A9K1
G1U110 F1SR95
G1TYN2 Q867B9
G1SWA1 A0A287AEI6
G1SHE1 I3LLB5
G1TVH9 B5APU6
G1T5Y0 A0A286ZRB8
G1TH06 F1SNW8
G1STH6 I3LJ47
G1SZT9 F1RHK6
G1T5S2 A0A287A9H2
G1SZL7 F1SHY4
G1U020 A0A287ADM1
G1SDY5 F2Z558
G1SEG0 F1RLY4
G1SQU6 F1SKF9
G1TCS7 F1ST22
G1T2C3 A0A287AEI6
G1T8W9 Q56VC2
G1TAR0 I3LFX5
G1U1T5 A0A287BRX1
G1TBR1 I3LLY4
G1TE94 A0A287BNT0
G1SZA8 F1SUB2
G1SZ83 A0A286ZQL9
G1SGJ3 F1S1D3
G1TCZ9 A0A287AZ31
G1SYS2 F1RX98
G1SI70 A0A287BBM7
G1TCI3 F1SH27
G1SV38 A0A287AJL4
G1TDH0 I3L6Z7
G1T0G3 F1SI41
G1T634 A0A286ZWZ7
G1SZ06 B7U2G9
G1SK67 I3LCK3
G1T8X7 F1RTZ5
G1TA93 F1SLC6
G1TCG7 F1SPE5
G1T6G0 A0A0G2KBD0
G1SEV9 I3LN88
G1SKW5 F2Z5G2
G1T6B3 F1SAU5
G1TGB4 E7CXS0
U3KPC9 A0A287A5L5
G1T996 F1RUJ3
G1ST95 A0A287BNB0
G1SYD6 F1RLQ2
G1T727 F1SEZ2
